net,length_um
pe_array\[0\].u_pe.accum_reg\[6\],31.82µm
_3412_,31.8µm
_1356_,31.78µm
_2262_,31.78µm
_2459_,31.78µm
_3724_,31.78µm
_0540_,31.72µm
_2751_,31.7µm
_0639_,31.66µm
pe_array\[1\].u_pe.accum_reg\[20\],31.6µm
pe_array\[3\].u_pe.accum_reg\[30\],31.43µm
_0213_,31.365µm
_0532_,31.35µm
pe_array\[0\].u_pe.accum_reg\[11\],31.32µm
_1526_,31.3µm
_2516_,31.26µm
_2762_,31.26µm
_3651_,31.205µm
_3427_,31.18µm
_0981_,31.1µm
_1592_,30.97µm
_1450_,30.9µm
_3919_,30.82µm
_4235_,30.74µm
_0591_,30.7µm
_4226_,30.66µm
_1233_,30.58µm
_4278_,30.58µm
_1415_,30.53µm
_1714_,30.5µm
_2487_,30.44µm
_2928_,30.4µm
_0750_,30.14µm
_3519_,30.1µm
_3758_,30.02µm
pe_array\[2\].u_pe.weight_in\[7\],30µm
_0085_,29.945µm
_4122_,29.94µm
_1266_,29.86µm
_0463_,29.78µm
_0647_,29.76µm
net657,29.74µm
_2352_,29.66µm
_2872_,29.62µm
pe_array\[2\].u_pe.accum_reg\[10\],29.56µm
pe_array\[0\].u_pe.accum_reg\[3\],29.5µm
_3246_,29.31µm
_0438_,29.3µm
_3419_,29.21µm
_0668_,29.125µm
_2868_,29.09µm
_0444_,29.08µm
net587,29.04µm
_3359_,29.02µm
_2081_,29µm
_0622_,28.9µm
_1754_,28.84µm
_2605_,28.8µm
_2642_,28.8µm
_2503_,28.74µm
_3241_,28.7µm
_2481_,28.68µm
_0088_,28.645µm
_0629_,28.62µm
_0654_,28.62µm
_1060_,28.58µm
_2295_,28.56µm
_1444_,28.48µm
_1580_,28.48µm
pe_array\[1\].u_pe.weight_in\[4\],28.38µm
_0460_,28.36µm
pe_array\[1\].u_pe.accum_reg\[19\],28.36µm
_2731_,28.3µm
_2351_,28.28µm
_3423_,28.24µm
_1502_,28.2µm
_0087_,28.185µm
_2414_,28.18µm
_0090_,28.165µm
_3492_,28.1µm
_0741_,28.08µm
_2125_,28.05µm
_2291_,27.96µm
_3764_,27.94µm
_2555_,27.92µm
_3375_,27.9µm
_3316_,27.78µm
pe_array\[2\].u_pe.accum_reg\[5\],27.78µm
_3669_,27.76µm
_0541_,27.72µm
_3619_,27.72µm
_0701_,27.7µm
_1134_,27.7µm
_1437_,27.62µm
_2648_,27.62µm
net8,27.56µm
_3504_,27.52µm
_0494_,27.5µm
_0902_,27.48µm
pe_array\[2\].u_pe.accum_reg\[26\],27.36µm
_4092_,27.32µm
_0611_,27.295µm
clknet_leaf_38_clk,27.28µm
_0923_,27.24µm
_2623_,27.24µm
pe_array\[2\].u_pe.accum_reg\[2\],27.24µm
net827,27.22µm
_2239_,27.215µm
pe_array\[0\].u_pe.accum_reg\[4\],27.2µm
pe_array\[3\].u_pe.accum_reg\[7\],27.2µm
_1802_,27.14µm
_0516_,27.06µm
_3418_,27µm
_2253_,26.98µm
_2933_,26.84µm
_2598_,26.82µm
_0670_,26.76µm
_3573_,26.74µm
_1083_,26.7µm
_1378_,26.62µm
_2323_,26.575µm
net875,26.52µm
_2817_,26.5µm
_0565_,26.48µm
_1570_,26.36µm
clknet_leaf_36_clk,26.36µm
_1668_,26.3µm
pe_array\[3\].u_pe.weight_in\[1\],26.24µm
_0440_,26.22µm
pe_array\[3\].u_pe.accum_reg\[9\],26.2µm
_3621_,26.14µm
_1705_,26.12µm
_4390_,26.06µm
net680,26.06µm
_0116_,26.005µm
_4385_,25.98µm
net590,25.84µm
_0533_,25.8µm
_3553_,25.7µm
pe_accum\[1\]\[4\],25.62µm
net559,25.6µm
_2069_,25.58µm
_2419_,25.58µm
_3572_,25.58µm
_3467_,25.56µm
_4433_,25.56µm
_4370_,25.52µm
_2127_,25.5µm
_3075_,25.5µm
_1422_,25.48µm
pe_array\[0\].u_pe.accum_reg\[15\],25.46µm
_1508_,25.42µm
_2310_,25.42µm
_4130_,25.42µm
_3672_,25.38µm
_3982_,25.38µm
_1718_,25.34µm
